county_fips,iso,year,total_units_counted,share_with_dc_gt6,share_with_dc_gt10,share_no_dc_gt6,share_no_dc_gt10,share_diff_gt6,share_diff_gt10
05001,MISO,2025,6459.491017858333,0.2794351211821109,0.1333752663763507,0.2681529702789897,0.12172776749184185,0.01128215090312118,0.011647498884508847
05003,MISO,2025,7050.319913174999,0.3637286496206186,0.21818473542780892,0.35012224304585193,0.20498951409804303,0.013606406574766694,0.013195221329765888
05005,MISO,2025,18670.85956237083,0.28401549002015064,0.0913851988192382,0.27684655659082985,0.08903435623041454,0.00716893342932079,0.0023508425888236623
05009,MISO,2025,14702.007005116668,0.22217789713312766,0.08562537245619255,0.21795167394190787,0.08536156659064074,0.004226223191219791,0.00026380586555180274
05011,MISO,2025,3464.6187361875,0.35359029228703226,0.20230236610766136,0.34620738127472833,0.19981858519954826,0.007382911012303928,0.0024837809081131035
05013,MISO,2025,1469.333236083333,0.2522399256360024,0.1563264737513042,0.24467418714750327,0.11889240259456864,0.0075657384884991186,0.03743407115673557
05017,MISO,2025,3894.1840080541665,0.45779234005130837,0.2787182214962938,0.4563420323250978,0.27629538015636596,0.0014503077262105757,0.0024228413399278725
05019,MISO,2025,7734.878936825,0.24158886130871726,0.1108840972944463,0.22898487113258256,0.1108840972944463,0.0126039901761347,0.0
05021,MISO,2025,5960.521219045833,0.38633540661263877,0.1721882682863703,0.3845671902946335,0.17000781530711206,0.001768216318005278,0.0021804529792582295
05023,MISO,2025,10473.382977425,0.258671804351359,0.11659830502702645,0.24423245330856458,0.11387303561759211,0.014439351042794424,0.002725269409434336
05025,MISO,2025,2678.6289155208333,0.3822512085398028,0.17315786022870844,0.3615828287081001,0.17300666347366211,0.02066837983170272,0.00015119675504632335
05027,MISO,2025,7669.765738129166,0.29106715851200676,0.17738191363893197,0.2799811122679259,0.17636154844562565,0.011086046244080883,0.0010203651933063107
05029,MISO,2025,8209.410909900002,0.22390837262147195,0.11981166093950352,0.2180946564071805,0.11841625752679512,0.005813716214291442,0.0013954034127083986
05031,MISO,2025,41835.236877129166,0.19053126916885646,0.08304261235927378,0.18865956170117848,0.08037984306699408,0.00187170746767798,0.002662769292279696
05035,MISO,2025,18346.199880426666,0.28592806514756214,0.1429393179646229,0.27595837606860074,0.12945228516694873,0.009969689078961397,0.013487032797674159
05037,MISO,2025,6454.8330351125005,0.35455122391444055,0.13944229735811892,0.3230307693177472,0.13821413896395499,0.03152045459669334,0.0012281583941639307
05039,MISO,2025,2207.299146370833,0.31253614404587876,0.19572847791247416,0.3073127876789104,0.19572847791247416,0.005223356366968357,0.0
05041,MISO,2025,4388.7474376166665,0.3749671958391022,0.2081970586816307,0.3653222725728364,0.20219645846212894,0.009644923266265815,0.006000600219501745
05043,MISO,2025,6673.7223832624995,0.3486217360784125,0.17234998250584632,0.33734879296156256,0.16541510478874114,0.011272943116849954,0.006934877717105187
05045,MISO,2025,46754.80228657583,0.1687704385329655,0.10261625103077103,0.15598909555874346,0.10137805047876866,0.012781342974222037,0.0012382005520023692
05049,MISO,2025,4729.7905249791675,0.39071047743260745,0.18699504500160968,0.3649546817146699,0.18633501665394547,0.02575579571793757,0.0006600283476642099
05051,MISO,2025,42036.15773877917,0.20638714571017144,0.08555147016344421,0.20210926116242156,0.08312613881625701,0.004277884547749883,0.0024253313471871984
05053,MISO,2025,6674.6441586125,0.18594475717908507,0.0960951971258343,0.18578823821340332,0.0942501827801467,0.00015651896568175117,0.0018450143456875956
05055,MISO,2025,17315.1632092875,0.23353771297966655,0.10220577959336996,0.2333549819267782,0.09990446555616662,0.0001827310528883519,0.0023013140372033364
05059,MISO,2025,11744.49658625,0.28223999572183733,0.11657820872483801,0.27153632421371365,0.11641982816026127,0.01070367150812368,0.0001583805645767461
05063,MISO,2025,14030.427683962498,0.2568966596096103,0.12665015055233506,0.25392220044319186,0.12665015055233506,0.0029744591664184195,0.0
05065,MISO,2025,4782.184604029167,0.36556974174217194,0.16882166811529803,0.34557093561715924,0.16705337285378194,0.019998806125012702,0.0017682952615160896
05067,MISO,2025,6004.729172487499,0.4243831748352075,0.1949768139748306,0.4045678452780751,0.1937321544410178,0.01981532955713239,0.0012446595338128086
05069,MISO,2025,23635.280538966665,0.3186291939365778,0.1397030841721089,0.30434330981756663,0.1397030841721089,0.01428588411901116,0.0
05075,MISO,2025,6212.944492291666,0.33419485238323826,0.14248695534017786,0.3215334945021083,0.14171254505959843,0.012661357881129987,0.000774410280579424
05077,MISO,2025,2500.593965225,0.47849312102528363,0.2865197924528035,0.4725341910608212,0.2738934254469713,0.005958929964462456,0.012626367005832195
05079,MISO,2025,3284.1600101458334,0.3559171281866872,0.14611930875931678,0.3366786693339995,0.1325542618955207,0.019238458852687712,0.013565046863796087
05085,MISO,2025,27230.276562455838,0.1830103169126201,0.08389870211117284,0.16814293371063732,0.08389870211117284,0.014867383201982776,0.0
05089,MISO,2025,7012.550566925,0.3441943695376062,0.15199659210750707,0.32479890349398083,0.151052337179127,0.019395466043625353,0.0009442549283800727
05093,MISO,2025,14615.232637570833,0.40344933677081807,0.24855319132496392,0.4014465645421762,0.24071526413717795,0.002002772228641869,0.007837927187785976
05095,MISO,2025,2752.2094874666664,0.3856068492195474,0.19658492526539054,0.38270520088220217,0.19658492526539054,0.0029016483373452417,0.0
05097,MISO,2025,3468.9816098750002,0.38076620768011576,0.17191032323863742,0.3723083672700815,0.17077970323510802,0.008457840410034279,0.0011306200035293978
