year,cost_res_attr,cost_dc_attr
2020,873931550.4309391,700396322.9690609
2021,452665587.2409649,754035536.2590351
2022,315757859.321026,975036887.6889739
2023,1242041524.368409,2896801981.4615912
2024,1026441644.1770332,1223156049.8229668
2025,2654231218.7756453,3559740171.2243547
