year,paid_residents_raw,paid_dc_raw,unassigned_raw
2020,311458764.6834748,377251196.72414905,885617911.9923761
2021,359767197.2328725,414478824.19180524,432455102.0753223
2022,457660173.8824646,436007460.6176551,397127112.5098803
2023,1478464081.4366093,1231664823.718813,1428714600.674578
2024,770590758.0667722,795408883.6746724,683598052.2585555
2025,2362664145.66062,2289671467.844406,1561635776.4949732
