year,source,target,value
2020,LRZ1,Residents,20616342.0008
2020,LRZ1,DataCenters,34564033.2548
2020,LRZ2_7,Residents,47723964.946187675
2020,LRZ2_7,DataCenters,57546506.96124879
2020,LRZ3_5,Residents,111218124.75597997
2020,LRZ3_5,DataCenters,179293764.94000396
2020,LRZ4,Residents,0.0
2020,LRZ4,DataCenters,0.0
2020,LRZ6,Residents,64432855.379999995
2020,LRZ6,DataCenters,70699370.06
2020,LRZ8_9_10,Residents,67467477.60050714
2020,LRZ8_9_10,DataCenters,35147521.50809633
2021,LRZ1,Residents,48859137.4401
2021,LRZ1,DataCenters,81914087.92185
2021,LRZ2_7,Residents,70741855.49229366
2021,LRZ2_7,DataCenters,91745267.8147125
2021,LRZ3_5,Residents,85569298.34353726
2021,LRZ3_5,DataCenters,138259683.93063855
2021,LRZ4,Residents,0.0
2021,LRZ4,DataCenters,0.0
2021,LRZ6,Residents,55620301.217999995
2021,LRZ6,DataCenters,48951966.644
2021,LRZ8_9_10,Residents,98976604.73894155
2021,LRZ8_9_10,DataCenters,53607817.880604185
2022,LRZ1,Residents,58962955.057578
2022,LRZ1,DataCenters,85064957.032539
2022,LRZ2_7,Residents,66541390.33778605
2022,LRZ2_7,DataCenters,79469788.0011078
2022,LRZ3_5,Residents,25896706.001333445
2022,LRZ3_5,DataCenters,43728931.409972414
2022,LRZ4,Residents,0.0
2022,LRZ4,DataCenters,0.0
2022,LRZ6,Residents,193144673.11866
2022,LRZ6,DataCenters,169988500.40228
2022,LRZ8_9_10,Residents,113114449.3671071
2022,LRZ8_9_10,DataCenters,57755283.77175588
2023,LRZ1,Residents,50666462.11767
2023,LRZ1,DataCenters,72774309.37252301
2023,LRZ2_7,Residents,101964908.15713908
2023,LRZ2_7,DataCenters,127787083.74337906
2023,LRZ3_5,Residents,120572379.36238259
2023,LRZ3_5,DataCenters,228092239.9233469
2023,LRZ4,Residents,0.0
2023,LRZ4,DataCenters,0.0
2023,LRZ6,Residents,176021631.47991002
2023,LRZ6,DataCenters,154918345.35478002
2023,LRZ8_9_10,Residents,1029238700.3195075
2023,LRZ8_9_10,DataCenters,648092845.3247838
2024,LRZ1,Residents,69543565.6148
2024,LRZ1,DataCenters,101028026.1851
2024,LRZ2_7,Residents,189995802.97628123
2024,LRZ2_7,DataCenters,234669371.98879835
2024,LRZ3_5,Residents,83572647.3869986
2024,LRZ3_5,DataCenters,145109888.8847453
2024,LRZ4,Residents,0.0
2024,LRZ4,DataCenters,0.0
2024,LRZ6,Residents,194877962.72759998
2024,LRZ6,DataCenters,171513985.4008
2024,LRZ8_9_10,Residents,232600779.3610924
2024,LRZ8_9_10,DataCenters,143087611.21522865
2025,LRZ1,Residents,157474707.1914
2025,LRZ1,DataCenters,222553341.44273332
2025,LRZ2_7,Residents,322211977.74957794
2025,LRZ2_7,DataCenters,421861562.17613155
2025,LRZ3_5,Residents,367786631.2304942
2025,LRZ3_5,DataCenters,658697728.3577197
2025,LRZ4,Residents,0.0
2025,LRZ4,DataCenters,0.0
2025,LRZ6,Residents,443892911.3638601
2025,LRZ6,DataCenters,375324925.8218801
2025,LRZ8_9_10,Residents,1071297918.1252881
2025,LRZ8_9_10,DataCenters,611233910.0459417
