county_fips,iso,year,total_units_counted,share_with_dc_gt6,share_with_dc_gt10,share_no_dc_gt6,share_no_dc_gt10,share_diff_gt6,share_diff_gt10
1089,CITY,2025,157928.47622681834,0.113907217226558,0.0768121898398756,0.113907217226558,0.0768121898398756,0.0,0.0
5001,MISO,2025,6459.491017858333,0.2794351211821109,0.1333752663763507,0.2790018469522844,0.1276342036850374,0.0004332742298264,0.0057410626913133
5003,MISO,2025,7050.319913174999,0.3637286496206186,0.2181847354278089,0.3507459735177768,0.2181847354278089,0.0129826761028417,0.0
5005,MISO,2025,18670.85956237083,0.2840154900201506,0.0913851988192382,0.2793344521611879,0.0913851988192382,0.0046810378589627,0.0
5009,MISO,2025,14702.007005116668,0.2221778971331276,0.0856253724561925,0.2203482962236641,0.0856135942496565,0.0018296009094634,1.177820653600059e-05
5011,MISO,2025,3464.6187361875,0.3535902922870322,0.2023023661076613,0.3535902922870322,0.2023023661076613,0.0,0.0
5013,MISO,2025,1469.333236083333,0.2522399256360024,0.1563264737513042,0.2518076309159203,0.1330249737829029,0.0004322947200821,0.0233014999684012
5017,MISO,2025,3894.1840080541674,0.4577923400513083,0.2787182214962938,0.4577923400513083,0.2787182214962938,0.0,0.0
5019,MISO,2025,7734.878936825,0.2415888613087172,0.1108840972944463,0.2415888613087172,0.1108840972944463,0.0,0.0
5021,MISO,2025,5960.521219045833,0.3863354066126387,0.1721882682863703,0.3863354066126387,0.1715930364484794,0.0,0.0005952318378908
5023,MISO,2025,10473.382977425,0.258671804351359,0.1165983050270264,0.2584477775329256,0.1165983050270264,0.0002240268184333,0.0
5025,MISO,2025,2678.6289155208333,0.3822512085398028,0.1731578602287084,0.3820487051569999,0.1730066634736621,0.0002025033828029,0.0001511967550463
5027,MISO,2025,7669.765738129166,0.2910671585120067,0.1773819136389319,0.2902705929279202,0.1773819136389319,0.0007965655840865,0.0
5029,MISO,2025,8209.410909900002,0.2239083726214719,0.1198116609395035,0.2220626881858939,0.11921185529522,0.001845684435578,0.0005998056442834
5031,MISO,2025,41835.236877129166,0.1905312691688564,0.0830426123592737,0.1905312691688564,0.0830426123592737,0.0,0.0
5035,MISO,2025,18346.199880426662,0.2859280651475621,0.1429393179646229,0.2859280651475621,0.1429393179646229,0.0,0.0
5037,MISO,2025,6454.8330351125005,0.3545512239144405,0.1394422973581189,0.3395437027912942,0.1394422973581189,0.0150075211231463,0.0
5039,MISO,2025,2207.299146370833,0.3125361440458787,0.1957284779124741,0.3125361440458787,0.1957284779124741,0.0,0.0
5041,MISO,2025,4388.7474376166665,0.3749671958391022,0.2081970586816307,0.3744163453703301,0.2080558544541202,0.000550850468772,0.0001412042275104
5043,MISO,2025,6673.7223832625,0.3486217360784125,0.1723499825058463,0.3486217360784125,0.1700385178798696,0.0,0.0023114646259766
5045,MISO,2025,46754.80228657583,0.1687704385329655,0.102616251030771,0.1681728199378301,0.102616251030771,0.0005976185951353,0.0
5049,MISO,2025,4729.790524979168,0.3907104774326074,0.1869950450016096,0.3842628843711858,0.1869950450016096,0.0064475930614216,0.0
5051,MISO,2025,42036.15773877917,0.2063871457101714,0.0855514701634442,0.2040846819578794,0.0849462501250644,0.0023024637522919,0.0006052200383797
5053,MISO,2025,6674.6441586125,0.185944757179085,0.0960951971258343,0.1857882382134033,0.0960951971258343,0.0001565189656817,0.0
5055,MISO,2025,17315.1632092875,0.2335377129796665,0.1022057795933699,0.2335377129796665,0.1012783390144066,0.0,0.0009274405789633
5059,MISO,2025,11744.49658625,0.2822399957218373,0.116578208724838,0.2822399957218373,0.116578208724838,0.0,0.0
5063,MISO,2025,14030.427683962498,0.2568966596096103,0.126650150552335,0.2568414873427744,0.126650150552335,5.517226683582344e-05,0.0
5065,MISO,2025,4782.184604029167,0.3655697417421719,0.168821668115298,0.3643739863590536,0.1674570532132506,0.0011957553831182,0.0013646149020474
5067,MISO,2025,6004.729172487499,0.4243831748352075,0.1949768139748306,0.4243831748352075,0.19425787573657,0.0,0.0007189382382606
5069,MISO,2025,23635.280538966665,0.3186291939365778,0.1397030841721089,0.3112342628705241,0.1397030841721089,0.0073949310660537,0.0
5075,MISO,2025,6212.944492291666,0.3341948523832382,0.1424869553401778,0.3341948523832382,0.1417378830394718,0.0,0.000749072300706
5077,MISO,2025,2500.593965225,0.4784931210252836,0.2865197924528035,0.4784931210252836,0.2850851020802795,0.0,0.001434690372524
5079,MISO,2025,3284.160010145833,0.3559171281866872,0.1461193087593167,0.3467504349636622,0.1409409586200742,0.0091666932230249,0.0051783501392425
5085,MISO,2025,27230.27656245584,0.1830103169126201,0.0838987021111728,0.1733599060102331,0.0838987021111728,0.0096504109023869,0.0
5089,MISO,2025,7012.550566925,0.3441943695376062,0.151996592107507,0.3441943695376062,0.1519234235335191,0.0,7.316857398792509e-05
5093,MISO,2025,14615.232637570833,0.403449336770818,0.2485531913249639,0.4030217184634912,0.2485531913249639,0.0004276183073268,0.0
5095,MISO,2025,2752.2094874666664,0.3856068492195474,0.1965849252653905,0.3827952670639841,0.1965849252653905,0.0028115821555633,0.0
5097,MISO,2025,3468.981609875,0.3807662076801157,0.1719103232386374,0.3796685672571088,0.1719103232386374,0.0010976404230069,0.0
5099,MISO,2025,3073.6070392916663,0.6277824097577807,0.3459922009361932,0.6277824097577807,0.3455475061622591,0.0,0.000444694773934
5103,MISO,2025,8188.612995804167,0.2672863888147466,0.1427378267788538,0.2672863888147466,0.1427378267788538,0.0,0.0
