county_fips,iso,year,total_units_counted,share_with_dc_gt6,share_with_dc_gt10,share_no_dc_gt6,share_no_dc_gt10,share_diff_gt6,share_diff_gt10
01089,CITY,2030,158041.78312081832,0.09123713651904035,0.03757349867686847,0.09031679602662256,0.0375210243626951,0.0009203404924177927,5.247431417336468e-05
05001,MISO,2030,6459.491017858333,0.2408676060070893,0.10912079779474128,0.20901607639451072,0.10696314524985791,0.03185152961257859,0.0021576525448833705
05003,MISO,2030,7050.319913174999,0.3234334981926987,0.16331621923613837,0.31007372903896346,0.15116926029543404,0.013359769153735213,0.012146958940704333
05005,MISO,2030,18676.83298337083,0.22338650319010536,0.07360653012628972,0.19896444005234257,0.06943611377174232,0.024422063137762795,0.0041704163545474016
05009,MISO,2030,14760.545961116666,0.17556907493558915,0.07584710136055862,0.16688274281101279,0.07545062353754427,0.008686332124576368,0.0003964778230143573
05011,MISO,2030,3464.6187361875,0.31524175543127514,0.16905426030691795,0.3096065024005714,0.1533657436940301,0.005635253030703724,0.015688516612887837
05013,MISO,2030,1469.333236083333,0.19260958501732006,0.11323406472289893,0.192288215347116,0.10695203414320692,0.0003213696702040747,0.006282030579692011
05017,MISO,2030,3894.1840080541665,0.38529305840477807,0.23177512934992575,0.3744974557572015,0.2264196177238617,0.010795602647576563,0.005355511626064041
05019,MISO,2030,7735.691436825,0.1963268714205597,0.09322564651971064,0.18186732755321683,0.09136377825178782,0.014459543867342883,0.0018618682679228254
05021,MISO,2030,5960.521219045833,0.3072740564466426,0.11797514109919309,0.2901728268771334,0.11633164863883047,0.017101229569509158,0.0016434924603626194
05023,MISO,2030,10473.382977425,0.23300420084513948,0.09720982724122457,0.21232995655526796,0.09416330358513607,0.020674244289871524,0.0030465236560884984
05025,MISO,2030,2684.024265520833,0.3156463749182117,0.12866896219005866,0.28854451721945096,0.12866896219005866,0.027101857698760723,0.0
05027,MISO,2030,7669.765738129166,0.2245865934067409,0.1124882305311818,0.21358971184491365,0.10020054711333665,0.010996881561827238,0.012287683417845155
05029,MISO,2030,8218.630946899999,0.18632914981551202,0.09175628876904912,0.16069862548070318,0.07548769858285768,0.025630524334808835,0.016268590186191437
05031,MISO,2030,41869.983418129166,0.14892898580050248,0.0772426436984127,0.1330114621019358,0.07158358914492866,0.015917523698566693,0.005659054553484047
05035,MISO,2030,18346.199880426666,0.23210396761160051,0.10451159057407707,0.21156333031217178,0.10451159057407707,0.020540637299428732,0.0
05037,MISO,2030,6454.8330351125005,0.2655104665847173,0.11517872131457474,0.247399733936547,0.1140452101536044,0.018110732648170286,0.001133511160970338
05039,MISO,2030,2207.299146370833,0.258441031599829,0.11905044500819956,0.23462244039726887,0.1123206155677314,0.023818591202560135,0.006729829440468155
05041,MISO,2030,4388.7474376166665,0.32104475033754126,0.1656329101002582,0.3207420399823164,0.1640120298934834,0.00030271035522488887,0.0016208802067748107
05043,MISO,2030,6673.7223832624995,0.29578789605119776,0.14287153475305062,0.29296205286162624,0.138563931282445,0.0028258431895715197,0.004307603470605603
05045,MISO,2030,46761.21858657584,0.14097976586501682,0.09233669478974063,0.1300481027555839,0.08321862903968763,0.010931663109432915,0.009118065750053
05049,MISO,2030,4729.7905249791675,0.3282088972654528,0.16056438461740224,0.31414383922123296,0.11925439734070485,0.01406505804421987,0.041309987276697394
05051,MISO,2030,42042.13965917917,0.1554510576271837,0.07751064382467786,0.13927421714530677,0.07540358801002868,0.016176840481876925,0.002107055814649178
05053,MISO,2030,6674.6441586125,0.13790251572722137,0.0853071071447246,0.1338633694769733,0.08326970274879844,0.004039146250248066,0.0020374043959261595
05055,MISO,2030,17315.8099432875,0.19497230669370172,0.08333016777952416,0.18178389217047422,0.07555084850788639,0.013188414523227499,0.007779319271637775
05059,MISO,2030,11744.49658625,0.19773609113740453,0.09586644645201994,0.18956643944675655,0.09526514572520965,0.008169651690647983,0.0006013007268102916
05063,MISO,2030,14030.427683962498,0.21391808917360217,0.10693018259776403,0.19584781022326994,0.09951446702008211,0.018070278950332225,0.0074157155776819195
05065,MISO,2030,4783.789584029167,0.30348000439010286,0.14925856069658322,0.28584543258571055,0.13575826457696624,0.01763457180439232,0.013500296119616978
05067,MISO,2030,6008.4917644875,0.3385806437535919,0.142351889345499,0.3325411865948959,0.135717414319014,0.006039457158696027,0.006634475026485009
05069,MISO,2030,23635.280538966665,0.2673217827629559,0.10646402385961189,0.25476150684892274,0.09988674554018571,0.012560275914033137,0.006577278319426172
05075,MISO,2030,6214.485309291667,0.2926421950646821,0.0990895065349917,0.23887373443347987,0.0990895065349917,0.05376846063120222,0.0
05077,MISO,2030,2500.593965225,0.4320599898746936,0.2410355164057727,0.4091125867584756,0.23124845998590682,0.022947403116217957,0.00978705641986588
05079,MISO,2030,3321.279749145833,0.31442399142034655,0.11372224250721562,0.27760714781441986,0.10721455168495791,0.036816843605926686,0.006507690822257703
05085,MISO,2030,27230.276562455838,0.12126568712175642,0.0782195215617097,0.09860084274126393,0.07505130023270024,0.022664844380492488,0.0031682213290094713
05089,MISO,2030,7014.390231924999,0.2717353427268013,0.11366413719286758,0.23643367536986398,0.11025351400125843,0.035301667356937294,0.0034106231916091467
05093,MISO,2030,14643.747071570833,0.35490968669161777,0.18934508420403476,0.34134623516829843,0.18598570880979765,0.013563451523319336,0.003359375394237113
05095,MISO,2030,2778.2094874666664,0.328114109013628,0.17470339166512908,0.31837628481532787,0.16951081186595254,0.009737824198300105,0.005192579799176533
